Method, Number of uses
org/apache/sysds/runtime/controlprogram/parfor/stat/InfrastructureAnalyzer.getLocalParallelism, 42
org/apache/sysds/runtime/matrix/data/MatrixBlock.append, 8
org/apache/sysds/runtime/controlprogram/context/ExecutionContext.setMatrixOutput, 61
org/apache/sysds/runtime/controlprogram/context/ExecutionContext.releaseMatrixInput, 12
org/apache/sysds/runtime/lineage/LineageItemUtils.getLineage, 32
org/apache/sysds/lops/MMTSJ$MMTSJType.valueOf, 6
org/apache/sysds/lops/MMTSJ$MMTSJType.isLeft, 11
org/apache/sysds/runtime/controlprogram/context/SparkExecutionContext.getSparkContext, 40
org/apache/sysds/runtime/instructions/spark/utils/RDDAggregateUtils.sumStable, 9
org/apache/sysds/runtime/instructions/spark/utils/RDDAggregateUtils.sumByKeyStable, 8
org/apache/sysds/runtime/matrix/data/MatrixBlock.<init>, 9
org/apache/sysds/runtime/matrix/data/LibMatrixReorg.transpose, 8
org/apache/sysds/parser/Statement.<init>, 11
org/apache/sysds/parser/LanguageException.<init>, 49
org/apache/sysds/runtime/controlprogram/paramserv/dp/DataPartitionFederatedScheme.<init>, 5
org/apache/sysds/runtime/controlprogram/federated/FederationMap.getFederatedData, 5
org/apache/sysds/runtime/controlprogram/federated/FederatedData.getVarID, 28
org/apache/sysds/runtime/controlprogram/federated/FederatedRequest.<init>, 57
org/apache/sysds/runtime/controlprogram/federated/FederatedData.executeFederatedOperation, 30
org/apache/sysds/runtime/controlprogram/federated/FederatedResponse.isSuccessful, 25
org/apache/sysds/runtime/meta/DataCharacteristics.setRows, 9
org/apache/sysds/runtime/controlprogram/paramserv/dp/DataPartitionFederatedScheme$Result.<init>, 5
org/apache/sysds/runtime/io/MatrixReader.<init>, 8
org/apache/sysds/runtime/util/HDFSTool.addBinaryBlockSerializationFramework, 6
org/apache/sysds/runtime/io/IOUtilFunctions.getSequenceFilePaths, 10
org/apache/sysds/runtime/matrix/data/MatrixBlock.copy, 27
org/apache/sysds/runtime/matrix/data/MatrixBlock.sortSparseRows, 18
org/apache/sysds/runtime/matrix/data/MatrixIndexes.<init>, 6
org/apache/sysds/runtime/matrix/data/MatrixBlock.<init>, 16
org/apache/sysds/runtime/instructions/spark/data/IndexedMatrixValue.<init>, 17
org/apache/sysds/runtime/matrix/data/MatrixBlock.getDenseBlockValues, 205
org/apache/sysds/runtime/matrix/data/MatrixBlock.recomputeNonZeros, 15
org/apache/sysds/runtime/instructions/cp/UnaryCPInstruction.<init>, 12
org/apache/sysds/runtime/instructions/InstructionUtils.checkNumFields, 46
org/apache/sysds/runtime/matrix/data/MatrixBlock.quickSetValue, 85
org/apache/sysds/runtime/instructions/cp/CPOperand.<init>, 12
org/apache/sysds/runtime/compress/utils/Util.getPow2, 6
org/apache/sysds/runtime/compress/utils/DblArray.hashCode, 8
org/apache/sysds/runtime/functionobjects/ValueFunction.<init>, 30
org/apache/sysds/runtime/instructions/cp/CPInstruction.<init>, 5
org/apache/sysds/runtime/functionobjects/Builtin.getBuiltinFnObject, 24
org/apache/sysds/runtime/matrix/operators/SimpleOperator.<init>, 8
org/apache/sysds/runtime/functionobjects/Plus.getPlusFnObject, 25
org/apache/sysds/runtime/compress/cocode/AColumnCoCoder.<init>, 5
org/apache/sysds/runtime/instructions/cp/IntObject.<init>, 30
org/apache/sysds/runtime/io/hdf5/message/H5Message.<init>, 14
org/apache/sysds/runtime/io/hdf5/message/H5Message.toBuffer, 7
org/apache/sysds/runtime/io/hdf5/H5BufferBuilder.writeBytes, 11
org/apache/sysds/runtime/instructions/cp/CPInstruction$CPType.values, 6
org/apache/sysds/runtime/matrix/data/MatrixBlock.isEmptyBlock, 20
org/apache/sysds/runtime/instructions/gpu/context/GPUContext.allocate, 35
org/apache/sysds/runtime/instructions/gpu/context/GPUContext.cudaFreeHelper, 27
org/apache/sysds/runtime/instructions/spark/data/PartitionedBroadcast.getBlock, 30
org/apache/sysds/runtime/compress/CompressedMatrixBlock.getUncompressed, 32
org/apache/sysds/runtime/util/UtilFunctions.toInt, 33
org/apache/sysds/runtime/compress/CompressedMatrixBlock.isOverlapping, 22
org/apache/sysds/runtime/compress/CompressedMatrixBlock.getColGroups, 35
org/apache/sysds/runtime/compress/CompressedMatrixBlock.<init>, 12
org/apache/sysds/runtime/compress/CompressedMatrixBlock.allocateColGroup, 6
org/apache/sysds/runtime/compress/CompressedMatrixBlock.recomputeNonZeros, 9
org/apache/sysds/api/mlcontext/MLContextException.<init>, 32
org/apache/sysds/lops/Lop.<init>, 80
org/apache/sysds/lops/Transform.init, 5
org/apache/sysds/lops/Lop.addOutput, 66
org/apache/sysds/lops/LopProperties.setProperties, 50
org/apache/sysds/lops/Lop.prepInputOperand, 63
org/apache/sysds/lops/Lop.prepScalarInputOperand, 19
org/apache/sysds/runtime/data/TensorBlock.getBasicTensor, 5
org/apache/sysds/runtime/data/BasicTensorBlock.getValueType, 6
org/apache/sysds/runtime/data/TensorBlock.<init>, 13
org/apache/sysds/runtime/instructions/spark/data/ReblockBuffer.<init>, 5
org/apache/sysds/runtime/matrix/data/MatrixCell.getValue, 11
org/apache/sysds/runtime/instructions/spark/data/ReblockBuffer.getSize, 5
org/apache/sysds/runtime/instructions/spark/data/ReblockBuffer.getCapacity, 5
org/apache/sysds/runtime/instructions/spark/data/ReblockBuffer.appendCell, 5
org/apache/sysds/runtime/io/hdf5/H5RuntimeException.<init>, 6
org/apache/sysds/runtime/meta/MatrixCharacteristics.<init>, 15
org/apache/sysds/runtime/transform/encode/ColumnEncoder$ColumnApplyTask.<init>, 8
org/apache/sysds/runtime/transform/encode/ColumnEncoder$ColumnApplyTask.<init>, 5
org/apache/sysds/hops/rewrite/StatementBlockRewriteRule.<init>, 12
org/apache/sysds/api/DMLScript.getGlobalExecMode, 25
org/apache/sysds/hops/rewrite/HopRewriteUtils.isLastLevelStatementBlock, 12
org/apache/sysds/parser/StatementBlock.getHops, 62
org/apache/sysds/parser/StatementBlock.<init>, 11
org/apache/sysds/parser/StatementBlock.getDMLProg, 18
org/apache/sysds/parser/StatementBlock.setDMLProg, 5
org/apache/sysds/parser/StatementBlock.setParseInfo, 6
org/apache/sysds/parser/VariableSet.<init>, 61
org/apache/sysds/hops/rewrite/HopRewriteUtils.replaceChildReference, 21
org/apache/sysds/hops/Hop.getName, 97
org/apache/sysds/hops/rewrite/HopRewriteUtils.createTransientRead, 10
org/apache/sysds/hops/rewrite/HopRewriteUtils.createTransientWrite, 21
org/apache/sysds/parser/VariableSet.getVariable, 26
org/apache/sysds/parser/DataIdentifier.<init>, 14
org/apache/sysds/parser/VariableSet.addVariable, 33
org/apache/sysds/parser/StatementBlock.setHops, 10
org/apache/sysds/parser/StatementBlock.updateRecompilationFlag, 6
org/apache/sysds/hops/Hop.resetVisitStatus, 50
org/apache/sysds/hops/Hop.isVisited, 69
org/apache/sysds/hops/DataOp.getOp, 22
org/apache/sysds/hops/Hop.setVisited, 70
org/apache/sysds/runtime/io/FileFormatProperties.<init>, 14
org/apache/sysds/runtime/matrix/data/LibMatrixMult.dotProduct, 20
org/apache/sysds/runtime/matrix/data/LibMatrixMult.dotProduct, 5
org/apache/sysds/runtime/codegen/LibSpoofPrimitives.allocVector, 112
org/apache/sysds/runtime/codegen/LibSpoofPrimitives.isFlipOuter, 5
org/apache/sysds/runtime/matrix/data/LibMatrixMult.vectMultiplyAdd, 19
org/apache/sysds/runtime/matrix/data/LibMatrixMult.vectMultiplyAdd, 12
org/apache/sysds/runtime/matrix/data/LibMatrixMult.vectAdd, 13
org/apache/sysds/runtime/codegen/LibSpoofPrimitives.allocVector, 23
org/apache/sysds/runtime/matrix/data/LibMatrixDNNPooling.poolingDenseStride1Pad0, 5
