Method, Number of uses
org/apache/sysds/runtime/controlprogram/parfor/util/Cell.getCol, 5
org/apache/sysds/runtime/util/DataConverter.convertToDenseBlock, 6
org/apache/sysds/runtime/matrix/data/MatrixBlock.getSparseBlockIterator, 19
org/apache/sysds/runtime/matrix/data/IJV.getI, 25
org/apache/sysds/runtime/matrix/data/IJV.getJ, 24
org/apache/sysds/runtime/matrix/data/IJV.getV, 23
org/apache/sysds/runtime/matrix/data/MatrixBlock.getValueDenseUnsafe, 14
org/apache/sysds/runtime/controlprogram/context/ExecutionContext.removeVariable, 20
org/apache/sysds/runtime/instructions/Instruction.preprocessInstruction, 5
org/apache/sysds/utils/Statistics.maintainCPHeavyHitters, 6
org/apache/sysds/hops/OptimizerUtils.estimateSizeExactSparsity, 7
org/apache/sysds/runtime/controlprogram/caching/MatrixObject.isPartitioned, 5
org/apache/sysds/runtime/controlprogram/caching/CacheableData.isFederated, 7
org/apache/sysds/runtime/controlprogram/caching/CacheableData.getFedMapping, 11
org/apache/sysds/runtime/controlprogram/federated/FederationMap.getMap, 8
org/apache/sysds/parser/ParseInfo.getBeginLine, 7
org/apache/sysds/parser/ParseInfo.getBeginColumn, 6
org/apache/sysds/parser/ParseInfo.getEndLine, 6
org/apache/sysds/parser/ParseInfo.getEndColumn, 5
org/apache/sysds/parser/ParseInfo.getText, 6
org/apache/sysds/parser/ParseInfo.getFilename, 5
org/apache/sysds/parser/VariableSet.getVariables, 20
org/apache/sysds/parser/StatementBlock.validate, 5
org/apache/sysds/parser/StatementBlock.getConstOut, 5
org/apache/sysds/parser/IndexedIdentifier.getOrigDim1, 14
org/apache/sysds/parser/IndexedIdentifier.getOrigDim2, 14
org/apache/sysds/parser/StatementBlock.initializeforwardLV, 5
org/apache/sysds/parser/StatementBlock.analyze, 5
org/apache/sysds/parser/IterablePredicate.getIterVar, 5
org/apache/sysds/parser/DoubleIdentifier.getValue, 12
org/apache/sysds/parser/BooleanIdentifier.getValue, 7
org/apache/sysds/parser/StatementBlock.updateRepetitionEstimates, 5
org/apache/sysds/hops/OptimizerUtils.estimatePartitionedSizeExactSparsity, 9
org/apache/sysds/runtime/util/HDFSTool.createDirIfNotExistOnHDFS, 13
org/apache/sysds/runtime/io/IOUtilFunctions.getPartFileName, 12
org/apache/sysds/runtime/instructions/gpu/context/GPUMemoryManager$PointerInfo.getSizeInBytes, 5
org/apache/sysds/runtime/instructions/gpu/context/GPUContextPool.initialGPUMemBudget, 9
org/apache/sysds/runtime/instructions/gpu/context/GPUMemoryManager.guardedCudaFree, 5
org/apache/sysds/runtime/instructions/gpu/context/GPUObject.isLocked, 8
org/apache/sysds/runtime/instructions/gpu/context/GPUObject.getSizeOnDevice, 5
org/apache/sysds/runtime/instructions/gpu/context/GPUObject.isDirty, 9
org/apache/sysds/runtime/instructions/gpu/context/GPUObject.copyFromDeviceToHost, 6
org/apache/sysds/runtime/instructions/gpu/context/GPUObject.clearData, 9
org/apache/sysds/runtime/instructions/gpu/context/GPUObject.getGPUContext, 29
org/apache/sysds/runtime/instructions/gpu/context/GPUObject.isLinCached, 7
org/apache/sysds/runtime/compress/colgroup/mapping/AMapToData.getIndex, 49
org/apache/sysds/runtime/instructions/spark/data/IndexedMatrixValue.getValue, 16
org/apache/sysds/runtime/instructions/spark/data/IndexedMatrixValue.getIndexes, 12
org/apache/sysds/runtime/instructions/spark/utils/SparkUtils.isHashPartitioned, 7
org/apache/sysds/runtime/controlprogram/context/SparkExecutionContext.getDefaultParallelism, 15
org/apache/sysds/runtime/instructions/spark/utils/SparkUtils.getNumPreferredPartitions, 10
org/apache/sysds/runtime/meta/DataCharacteristics.dimsKnown, 9
org/apache/sysds/runtime/meta/DataCharacteristics.colsKnown, 12
org/apache/sysds/runtime/meta/DataCharacteristics.rowsKnown, 10
org/apache/sysds/hops/OptimizerUtils.estimateSizeTextOutput, 8
org/apache/sysds/hops/OptimizerUtils.getParallelTextWriteParallelism, 9
org/apache/sysds/parser/ConditionalPredicate.variablesRead, 6
org/apache/sysds/runtime/util/IndexRange.<init>, 15
org/apache/sysds/runtime/instructions/fed/ComputationFEDInstruction.<init>, 5
org/apache/sysds/lops/WeightedCrossEntropy$WCeMMType.hasFourInputs, 5
org/apache/sysds/runtime/data/TensorBlock.allocateBlock, 9
org/apache/sysds/runtime/data/TensorBlock.<init>, 7
org/apache/sysds/runtime/io/IOUtilFunctions.splitCSV, 5
org/apache/sysds/runtime/data/TensorBlock.set, 6
org/apache/sysds/runtime/matrix/data/FrameBlock$IntegerArray.<init>, 5
org/apache/sysds/runtime/instructions/gpu/context/GPUObject.isSparse, 5
org/apache/sysds/runtime/instructions/gpu/context/GPUObject.getPointerAddress, 7
org/apache/sysds/runtime/instructions/gpu/context/GPUObject.getDensePointer, 21
org/apache/sysds/runtime/controlprogram/parfor/opt/OptimizerConstrained.getOptMode, 7
org/apache/sysds/runtime/controlprogram/parfor/opt/OptNode.isLeaf, 40
org/apache/sysds/runtime/controlprogram/parfor/opt/OptNode.getK, 7
org/apache/sysds/runtime/controlprogram/parfor/opt/CostEstimator.getEstimate, 8
org/apache/sysds/runtime/controlprogram/parfor/opt/OptNode.getParam, 29
org/apache/sysds/runtime/controlprogram/parfor/opt/OptTree.getMappedProg, 29
org/apache/sysds/conf/ConfigurationManager.isParallelParFor, 5
org/apache/sysds/runtime/controlprogram/ParForProgramBlock.setDegreeOfParallelism, 6
org/apache/sysds/hops/OptimizerUtils.getSparsity, 10
org/apache/sysds/runtime/matrix/data/MatrixBlock.getValue, 36
org/apache/sysds/runtime/matrix/data/MatrixBlock.slice, 26
org/apache/sysds/common/Types$ValueType.isNumeric, 13
org/apache/sysds/runtime/controlprogram/caching/CacheableData.getNumRows, 5
org/apache/sysds/runtime/controlprogram/caching/CacheableData.getNumColumns, 5
org/apache/sysds/runtime/matrix/data/MatrixBlock.min, 6
org/apache/sysds/runtime/matrix/data/MatrixBlock.max, 8
org/apache/sysds/runtime/lineage/LineageCache.getIntern, 7
org/apache/sysds/runtime/lineage/LineageCache.putIntern, 5
org/apache/sysds/runtime/lineage/LineageCacheEntry.isMatrixValue, 12
org/apache/sysds/runtime/lineage/LineageCacheEntry.getMBValue, 9
org/apache/sysds/runtime/lineage/LineageCacheEntry.getCacheStatus, 7
org/apache/sysds/runtime/lineage/LineageCacheConfig.isMultiLevelReuse, 5
org/apache/sysds/runtime/controlprogram/federated/FederatedResponse.<init>, 15
org/apache/sysds/runtime/controlprogram/context/ExecutionContext.cleanupDataObject, 9
org/apache/sysds/runtime/lineage/LineageCacheEntry.getSize, 9
org/apache/sysds/runtime/lineage/LineageCacheEviction.updateSize, 8
org/apache/sysds/runtime/lineage/LineageCache.removePlaceholder, 5
org/apache/sysds/runtime/lineage/LineageCacheEviction.isBelowThreshold, 5
org/apache/sysds/runtime/lineage/LineageCacheEviction.makeSpace, 5
org/apache/sysds/runtime/lineage/LineageCacheEntry.setValue, 5
org/apache/sysds/runtime/lineage/LineageCacheEviction.addEntry, 5
org/apache/sysds/runtime/lineage/LineageCacheEntry.isNullVal, 11
org/apache/sysds/runtime/functionobjects/TernaryValueFunction.<init>, 5
org/apache/sysds/runtime/matrix/operators/BinaryOperator.<init>, 14
org/apache/sysds/runtime/matrix/data/MatrixBlock.aggregateBinaryOperations, 10
org/apache/sysds/hops/HopsException.<init>, 13
org/apache/sysds/api/DMLException.<init>, 6
org/apache/sysds/api/DMLException.<init>, 8
org/apache/sysds/runtime/compress/colgroup/mapping/AMapToData.<init>, 8
org/apache/sysds/utils/MemoryEstimates.intArrayCost, 9
org/apache/sysds/runtime/controlprogram/paramserv/ParamservUtils.sliceMatrixBlock, 5
org/apache/sysds/hops/BinaryOp.<init>, 5
org/apache/sysds/lops/OutputParameters.setDimensions, 28
org/apache/sysds/lops/PickByCount.<init>, 6
org/apache/sysds/lops/Data.createLiteralLop, 6
org/apache/sysds/lops/UnaryCP.<init>, 5
org/apache/sysds/hops/MemoTable.getAllInputStats, 5
org/apache/sysds/hops/Hop.optFindExecType, 5
org/apache/sysds/hops/Hop.getFilename, 5
org/apache/sysds/runtime/instructions/cp/IntObject.getLongValue, 14
org/apache/sysds/runtime/functionobjects/KahanPlus.execute2, 18
org/apache/sysds/runtime/compress/colgroup/offset/AIterator.getDataIndex, 28
org/apache/sysds/runtime/compress/colgroup/mapping/AMapToData.size, 30
org/apache/sysds/runtime/compress/colgroup/mapping/AMapToData.getCounts, 6
org/apache/sysds/runtime/compress/colgroup/mapping/AMapToData.getInMemorySize, 5
org/apache/sysds/runtime/compress/colgroup/dictionary/ADictionary.replace, 5
org/apache/sysds/runtime/functionobjects/OffsetColumnIndex.getOffsetColumnIndexFnObject, 7
org/apache/sysds/runtime/matrix/data/LibMatrixDNNHelper.singleThreadedMatMult, 5
org/apache/sysds/lops/SpoofFused.getInstructions, 8
org/apache/sysds/runtime/controlprogram/LocalVariableMap.remove, 5
org/apache/sysds/runtime/controlprogram/context/ExecutionContext.getNonExistingVarError, 6
org/apache/sysds/runtime/controlprogram/context/ExecutionContext.getFrameObject, 13
org/apache/sysds/runtime/controlprogram/context/ExecutionContext.getFrameObject, 7
org/apache/sysds/runtime/controlprogram/context/ExecutionContext.getCacheableData, 9
org/apache/sysds/runtime/controlprogram/context/ExecutionContext.getCacheableData, 10
org/apache/sysds/runtime/controlprogram/caching/CacheableData.release, 6
org/apache/sysds/runtime/controlprogram/context/ExecutionContext.getDataCharacteristics, 14
org/apache/sysds/runtime/meta/MetaData.getDataCharacteristics, 18
org/apache/sysds/runtime/controlprogram/context/ExecutionContext.getTensorInput, 5
org/apache/sysds/runtime/meta/MatrixCharacteristics.<init>, 7
org/apache/sysds/runtime/controlprogram/context/ExecutionContext.allocateGPUMatrixObject, 7
org/apache/sysds/runtime/matrix/data/Pair.<init>, 29
org/apache/sysds/runtime/meta/DataCharacteristics.setDimension, 14
org/apache/sysds/runtime/instructions/gpu/context/GPUObject.getJcudaSparseMatrixPtr, 21
org/apache/sysds/runtime/controlprogram/context/ExecutionContext.getFrameInput, 12
org/apache/sysds/runtime/controlprogram/context/ExecutionContext.releaseFrameInput, 13
org/apache/sysds/runtime/controlprogram/context/ExecutionContext.releaseTensorInput, 5
org/apache/sysds/runtime/controlprogram/context/ExecutionContext.getListObject, 15
org/apache/sysds/runtime/instructions/gpu/context/GPUObject.isAllocated, 21
org/apache/sysds/runtime/controlprogram/context/ExecutionContext.createMatrixObject, 14
org/apache/sysds/runtime/controlprogram/context/ExecutionContext.setTensorOutput, 5
org/apache/sysds/runtime/controlprogram/context/ExecutionContext.setFrameOutput, 11
org/apache/sysds/runtime/meta/MatrixCharacteristics.<init>, 21
org/apache/sysds/runtime/meta/DataCharacteristics.setBlocksize, 14
org/apache/sysds/runtime/controlprogram/caching/CacheableData.isCleanupEnabled, 5
org/apache/sysds/runtime/controlprogram/caching/CacheableData.enableCleanup, 8
org/apache/sysds/runtime/controlprogram/caching/CacheableData.getFileName, 5
org/apache/sysds/runtime/controlprogram/caching/CacheableData.isCachingActive, 7
org/apache/sysds/runtime/controlprogram/caching/CacheableData.isFederated, 9
org/apache/sysds/runtime/instructions/cp/CPOperand.isScalar, 16
org/apache/sysds/runtime/instructions/fed/UnaryFEDInstruction.<init>, 6
org/apache/sysds/runtime/controlprogram/federated/FederationMap.getSize, 5
org/apache/sysds/runtime/controlprogram/federated/FederatedRange.getSize, 7
org/apache/sysds/runtime/controlprogram/federated/FederationUtils.callInstruction, 16
org/apache/sysds/runtime/controlprogram/federated/FederationMap.copyWithNewID, 39
org/apache/sysds/runtime/controlprogram/caching/CacheableData.setFedMapping, 6
org/apache/sysds/runtime/controlprogram/caching/CacheableData.getDataCharacteristics, 11
org/apache/sysds/runtime/meta/DataCharacteristics.set, 24
org/apache/sysds/runtime/matrix/operators/UnaryOperator.<init>, 9
org/apache/sysds/runtime/matrix/data/MatrixBlock.unaryOperations, 11
org/apache/sysds/runtime/matrix/data/MatrixBlock.reset, 6
org/apache/sysds/runtime/matrix/data/MatrixBlock.dropLastRowsOrColumns, 10
org/apache/sysds/hops/rewrite/HopRewriteUtils.isDnn, 5
org/apache/sysds/hops/rewrite/RewriteGPUSpecificOps.getFirstInput, 21
org/apache/sysds/hops/rewrite/RewriteGPUSpecificOps.getSecondInput, 18
org/apache/sysds/hops/Hop.computeSizeInformation, 8
org/apache/sysds/hops/rewrite/HopRewriteUtils.rewireAllParentChildReferences, 6
org/apache/sysds/hops/OptimizerUtils.rEvalSimpleDoubleExpression, 15
org/apache/sysds/runtime/compress/CompressedMatrixBlock.decompress, 7
org/apache/sysds/hops/ipa/IPAPass.<init>, 13
org/apache/sysds/hops/ipa/FunctionCallGraph.containsSecondOrderCall, 5
org/apache/sysds/hops/ipa/FunctionCallGraph.getReachableFunctions, 6
org/apache/sysds/parser/DMLProgram.getFunctionStatementBlock, 11
org/apache/sysds/runtime/matrix/data/MatrixBlock.replaceOperations, 6
org/apache/sysds/api/mlcontext/Script.setName, 6
org/apache/sysds/runtime/util/UtilFunctions.toLong, 50
org/apache/sysds/runtime/iogen/ValueTrimFormat.<init>, 6
org/apache/sysds/runtime/util/UtilFunctions.getDouble, 5
org/apache/sysds/runtime/iogen/ValueTrimFormat.getDoubleActualValue, 7
org/apache/sysds/runtime/iogen/ValueTrimFormat.getACopy, 5
org/apache/sysds/runtime/iogen/ValueTrimFormat.isNotSet, 7
org/apache/sysds/runtime/iogen/ValueTrimFormat.getStringOfActualValue, 7
org/apache/sysds/runtime/matrix/data/Pair.getKey, 30
org/apache/sysds/runtime/matrix/data/Pair.getValue, 24
org/apache/sysds/runtime/matrix/data/Pair.set, 7
org/apache/sysds/runtime/codegen/CodegenUtils.getClassSync, 7
org/apache/sysds/runtime/codegen/CodegenUtils.createInstance, 9
org/apache/sysds/runtime/codegen/SpoofOperator$SideInput.<init>, 5
org/apache/sysds/runtime/matrix/data/MatrixBlock.setValue, 16
org/apache/sysds/runtime/io/MatrixWriter.<init>, 6
org/apache/sysds/runtime/matrix/data/MatrixBlock.reset, 7
org/apache/sysds/parser/DataExpression.getMTDFileName, 6
org/apache/sysds/runtime/io/IOUtilFunctions.getFileSystem, 5
org/apache/sysds/runtime/controlprogram/federated/FederatedResponse.<init>, 15
org/apache/sysds/parser/AssignmentStatement.getSource, 13
org/apache/sysds/parser/MultiAssignmentStatement.getSource, 10
org/apache/sysds/parser/FunctionCallIdentifier.getNamespace, 6
org/apache/sysds/parser/Expression.printErrorLocation, 5
org/apache/sysds/parser/AssignmentStatement.getTarget, 8
org/apache/sysds/parser/StatementBlock.getStatements, 5
org/apache/sysds/parser/ForStatement.setBody, 5
org/apache/sysds/parser/FunctionStatement.setBody, 6
org/apache/sysds/parser/StatementBlock.toString, 5
org/apache/sysds/parser/StatementBlock.mergeStatementBlocks, 6
org/apache/sysds/parser/BuiltinFunctionExpression.getAllExpr, 10
org/apache/sysds/parser/ParameterizedBuiltinFunctionExpression.getVarParams, 11
org/apache/sysds/parser/DataExpression.getVarParams, 7
org/apache/sysds/parser/ParameterExpression.getExpr, 21
org/apache/sysds/parser/ParameterExpression.getName, 23
org/apache/sysds/parser/StatementBlock.raiseValidateError, 5
org/apache/sysds/parser/MultiAssignmentStatement.getTargetList, 9
org/apache/sysds/parser/BuiltinFunctionExpression.getOpCode, 24
org/apache/sysds/parser/BuiltinFunctionExpression.getFirstExpr, 11
org/apache/sysds/parser/IntIdentifier.getValue, 16
org/apache/sysds/parser/IndexedIdentifier.getRowLowerBound, 7
org/apache/sysds/parser/IndexedIdentifier.getRowUpperBound, 7
org/apache/sysds/parser/IndexedIdentifier.getColLowerBound, 7
org/apache/sysds/parser/IndexedIdentifier.getColUpperBound, 7
org/apache/sysds/parser/StringIdentifier.<init>, 12
org/apache/sysds/parser/DataExpression.getVarParam, 30
org/apache/sysds/parser/DataExpression.addVarParam, 20
org/apache/sysds/runtime/matrix/operators/CMOperator.getAggOpType, 5
org/apache/sysds/runtime/matrix/data/FrameBlock$Array.get, 10
org/apache/sysds/runtime/controlprogram/caching/CacheableData.<init>, 6
org/apache/sysds/runtime/meta/DataCharacteristics.getDims, 10
org/apache/sysds/runtime/meta/DataCharacteristics.getDim, 8
org/apache/sysds/runtime/instructions/spark/data/RDDObject.getRDD, 13
org/apache/sysds/runtime/data/TensorBlock.getSchema, 9
org/apache/sysds/hops/estim/SparsityEstimator$OpCode.values, 7
org/apache/sysds/runtime/instructions/spark/TernarySPInstruction$TernaryFunction.<init>, 7
org/apache/sysds/runtime/matrix/data/MatrixBlock.ternaryOperations, 8
org/apache/sysds/runtime/compress/DMLCompressionException.<init>, 10
org/apache/sysds/runtime/matrix/operators/ReorgOperator.<init>, 6
org/apache/sysds/runtime/controlprogram/federated/FederationMap.getType, 19
org/apache/sysds/runtime/controlprogram/federated/FederationMap.getMaxIndexInRange, 7
org/apache/sysds/runtime/controlprogram/federated/FederatedRange.getBeginDims, 21
org/apache/sysds/runtime/controlprogram/federated/FederatedRange.getEndDims, 16
org/apache/sysds/runtime/controlprogram/federated/FederatedRange.setBeginDim, 9
org/apache/sysds/runtime/controlprogram/federated/FederatedRange.setEndDim, 11
org/apache/sysds/runtime/compress/CompressionSettingsBuilder.<init>, 7
org/apache/sysds/runtime/instructions/spark/utils/SparkUtils.toIndexedMatrixBlock, 6
org/apache/sysds/runtime/matrix/data/MatrixValue.getNumColumns, 5
org/apache/sysds/runtime/matrix/data/MatrixValue.getNumRows, 5
org/apache/sysds/runtime/matrix/data/MatrixBlock.sparseToDense, 18
org/apache/sysds/runtime/util/DnnUtils.getP, 10
org/apache/sysds/runtime/util/DnnUtils.getQ, 9
org/apache/sysds/runtime/matrix/data/DnnParameters.<init>, 7
org/apache/sysds/utils/NativeHelper.isNativeLibraryLoaded, 11
org/apache/sysds/runtime/matrix/data/MatrixBlock.estimateSizeDenseInMemory, 9
org/apache/sysds/parser/ParseException.<init>, 18
org/apache/sysds/lops/OutputParameters.getFile_name, 7
org/apache/sysds/lops/OutputParameters.getFormat, 8
org/apache/sysds/runtime/io/hdf5/H5BufferBuilder.<init>, 6
org/apache/sysds/runtime/instructions/gpu/context/GPUObject.isDensePointerNull, 13
org/apache/sysds/runtime/instructions/gpu/context/ShadowBuffer.isBuffered, 6
org/apache/sysds/runtime/data/SparseBlock.sort, 5
org/apache/sysds/hops/codegen/cplan/CNode.<init>, 7
org/apache/sysds/hops/codegen/cplan/CNode.codegen, 8
org/apache/sysds/hops/codegen/cplan/CNode.getVarname, 26
org/apache/sysds/hops/codegen/cplan/CNode.isLiteral, 18
org/apache/sysds/hops/codegen/cplan/CNode.hashCode, 7
org/apache/sysds/runtime/util/UtilFunctions.intHashCode, 16
org/apache/sysds/hops/codegen/cplan/CNode.equals, 6
org/apache/sysds/hops/codegen/cplan/CNode.isSupported, 8
org/apache/sysds/hops/codegen/cplan/CNode.getDataType, 19
org/apache/sysds/runtime/matrix/data/MatrixBlock.allocateSparseRowsBlock, 20
org/apache/sysds/runtime/matrix/data/MatrixBlock.<init>, 30
org/apache/sysds/runtime/matrix/data/FrameBlock.appendRow, 10
org/apache/sysds/runtime/instructions/InstructionUtils.parseBasicAggregateUnaryOperator, 15
org/apache/sysds/runtime/instructions/InstructionUtils.parseBinaryOperator, 15
org/apache/sysds/runtime/matrix/operators/Operator.<init>, 22
org/apache/sysds/hops/rewrite/ProgramRewriteStatus.<init>, 10
org/apache/sysds/parser/DMLProgram.getNamespaces, 25
org/apache/sysds/parser/DMLProgram.getFunctionStatementBlocks, 11
org/apache/sysds/parser/DMLProgram.getNumStatementBlocks, 8
org/apache/sysds/parser/DMLProgram.getStatementBlock, 8
org/apache/sysds/runtime/matrix/data/FrameBlock.get, 36
org/apache/sysds/runtime/instructions/InstructionUtils.parseBasicAggregateUnaryOperator, 15
org/apache/sysds/runtime/data/BasicTensorBlock.get, 5
org/apache/sysds/runtime/instructions/gpu/context/GPUContext.getCudnnHandle, 8
org/apache/sysds/runtime/instructions/spark/utils/SparkUtils.getNumPreferredPartitions, 10
org/apache/sysds/runtime/matrix/data/MatrixBlock.reorgOperations, 13
org/apache/sysds/runtime/matrix/data/LibMatrixOuterAgg.isRowIndexMax, 5
org/apache/sysds/hops/Hop.isScalar, 6
org/apache/sysds/hops/Hop.dimsKnown, 14
org/apache/sysds/runtime/controlprogram/federated/FederationMap.modifyFedRanges, 6
org/apache/sysds/runtime/controlprogram/federated/FederationUtils.aggScalar, 5
org/apache/sysds/runtime/controlprogram/federated/FederationUtils.aggMatrix, 7
org/apache/sysds/runtime/controlprogram/federated/FederationMap.execute, 6
org/apache/sysds/runtime/matrix/data/MatrixBlock.binaryOperationsInPlace, 15
org/apache/sysds/runtime/matrix/data/MatrixBlock.slice, 7
org/apache/sysds/runtime/instructions/gpu/context/GPUContext.getMemoryManager, 8
org/apache/sysds/runtime/controlprogram/caching/LazyWriteBuffer.getCacheBlockSize, 5
org/apache/sysds/runtime/controlprogram/caching/CacheBlock.getInMemorySize, 8
org/apache/sysds/utils/Explain.createOffset, 11
org/apache/sysds/runtime/matrix/data/LibMatrixCuDNNInputRowFetcher.<init>, 5
org/apache/sysds/runtime/matrix/data/LibMatrixCUDA.isInSparseFormat, 15
org/apache/sysds/runtime/matrix/data/LibMatrixCuDNN.getDensePointerForCuDNN, 13
org/apache/sysds/runtime/matrix/data/LibMatrixCuDNNInputRowFetcher.getNthRow, 5
org/apache/sysds/runtime/matrix/data/LibMatrixCuDNNInputRowFetcher.close, 5
org/apache/sysds/hops/codegen/template/CPlanMemoTable.contains, 13
org/apache/sysds/hops/codegen/template/CPlanMemoTable.contains, 16
org/apache/sysds/hops/codegen/template/CPlanMemoTable.get, 19
org/apache/sysds/runtime/util/CollectionUtils.asSet, 5
org/apache/sysds/hops/codegen/template/CPlanMemoTable.getBest, 5
org/apache/sysds/hops/codegen/template/CPlanMemoTable$MemoTableEntry.<init>, 6
org/apache/sysds/hops/codegen/template/CPlanMemoTable.add, 5
org/apache/sysds/hops/codegen/template/CPlanMemoTable.remove, 5
org/apache/sysds/hops/codegen/template/CPlanMemoTable.setDistinct, 5
org/apache/sysds/hops/codegen/template/CPlanMemoTable$MemoTableEntry.isPlanRef, 25
org/apache/sysds/hops/codegen/template/CPlanMemoTable$MemoTableEntry.input, 16
org/apache/sysds/hops/codegen/template/CPlanMemoTable.getBest, 8
org/apache/sysds/hops/codegen/template/CPlanMemoTable$MemoTableEntry.countPlanRefs, 7
org/apache/sysds/hops/codegen/template/CPlanMemoTable$MemoTableEntry.isValid, 8
org/apache/sysds/hops/codegen/template/CPlanMemoTable$MemoTableEntry.hasPlanRef, 5
org/apache/sysds/runtime/controlprogram/caching/CacheBlock.getString, 5
org/apache/sysds/runtime/matrix/data/FrameBlock.set, 34
org/apache/sysds/runtime/util/UtilFunctions.parseToLong, 11
org/apache/sysds/runtime/transform/encode/ColumnEncoder.writeExternal, 6
org/apache/sysds/runtime/transform/encode/ColumnEncoder.readExternal, 5
org/apache/sysds/hops/OptimizerUtils.getParallelTextReadParallelism, 10
org/apache/sysds/runtime/io/IOUtilFunctions.sortInputSplits, 8
org/apache/sysds/runtime/matrix/data/MatrixBlock.leftIndexingOperations, 13
org/apache/sysds/runtime/meta/MatrixCharacteristics.<init>, 15
org/apache/sysds/hops/cost/FederatedCost.<init>, 6
org/apache/sysds/hops/OptimizerUtils.isValidCPDimensions, 9
org/apache/sysds/hops/Hop.getLops, 7
org/apache/sysds/hops/OptimizerUtils.estimatePartitionedSizeExactSparsity, 11
org/apache/sysds/hops/OptimizerUtils.isHybridExecutionMode, 5
org/apache/sysds/hops/Hop.getOutputMemEstimate, 5
org/apache/sysds/hops/Hop.computeMemEstimate, 6
org/apache/sysds/runtime/meta/DataCharacteristics.getLength, 7
org/apache/sysds/hops/Hop.isFederatedDataOp, 8
org/apache/sysds/hops/Hop.setNnz, 8
org/apache/sysds/hops/cost/FederatedCost.getTotal, 8
org/apache/sysds/hops/Hop.setDim1, 10
org/apache/sysds/hops/Hop.setDim2, 10
org/apache/sysds/runtime/meta/DataCharacteristics.setCols, 6
org/apache/sysds/hops/Hop.getSparsity, 7
org/apache/sysds/hops/Hop.getUpdateType, 6
org/apache/sysds/hops/Hop.isMatrix, 9
org/apache/sysds/hops/Hop.setParseInfo, 13
org/apache/sysds/conf/DMLConfig.getTextValue, 26
org/apache/sysds/hops/rewrite/HopRewriteUtils.isUnary, 8
org/apache/sysds/parser/DataIdentifier.<init>, 14
org/apache/sysds/parser/ParameterizedBuiltinFunctionExpression.getVarParam, 16
org/apache/sysds/parser/ParameterizedBuiltinFunctionExpression.getOpCode, 6
org/apache/sysds/parser/ParameterizedBuiltinFunctionExpression.checkDataType, 7
org/apache/sysds/parser/ParameterizedBuiltinFunctionExpression.checkDataValueType, 8
org/apache/sysds/parser/ParameterizedBuiltinFunctionExpression.validateTransformSpec, 6
org/apache/sysds/parser/StringIdentifier.getValue, 8
org/apache/sysds/parser/BooleanIdentifier.<init>, 5
org/apache/sysds/parser/Expression.getText, 8
org/apache/sysds/runtime/controlprogram/federated/ExecutionContextMap.get, 6
org/apache/sysds/runtime/matrix/operators/QuaternaryOperator.hasFourInputs, 7
org/apache/sysds/runtime/controlprogram/federated/FederationMap.broadcast, 7
org/apache/sysds/lops/WeightedDivMM$WDivMMType.isLeft, 12
org/apache/sysds/lops/WeightedDivMM$WDivMMType.isBasic, 12
org/apache/sysds/runtime/data/TensorBlock.getNumDims, 17
org/apache/sysds/runtime/util/FastStringTokenizer.nextInt, 5
org/apache/sysds/runtime/instructions/spark/utils/RDDAggregateUtils.sumByKeyStable, 5
org/apache/sysds/runtime/util/LongLongDoubleHashMap$ADoubleEntry.getKey1, 6
org/apache/sysds/runtime/util/LongLongDoubleHashMap$ADoubleEntry.getKey2, 6
org/apache/sysds/runtime/matrix/data/LibMatrixBincell.isSparseSafeDivide, 6
org/apache/sysds/runtime/instructions/gpu/context/GPUObject.clearDensePointer, 5
org/apache/sysds/runtime/instructions/gpu/context/ShadowBuffer.clearShadowPointer, 5
org/apache/sysds/runtime/instructions/gpu/context/GPUObject.setDensePointer, 7
org/apache/sysds/runtime/instructions/gpu/context/GPUObject.getDatatypeSizeOf, 5
org/apache/sysds/runtime/instructions/gpu/context/CSRPointer.allocateEmpty, 5
org/apache/sysds/runtime/instructions/gpu/context/GPUObject.setSparseMatrixCudaPointer, 7
org/apache/sysds/runtime/instructions/gpu/context/GPUObject.toIntExact, 12
org/apache/sysds/runtime/instructions/gpu/context/GPUObject.sparseToDense, 5
org/apache/sysds/runtime/matrix/data/CudaSupportFunctions.deviceToHost, 5
org/apache/sysds/runtime/data/SparseBlockCSR.<init>, 8
org/apache/sysds/runtime/io/hdf5/Utils.readBytesAsUnsignedInt, 7
org/apache/sysds/parser/dml/DmlParser.expression, 7
org/apache/sysds/runtime/util/UtilFunctions.unquote, 6
org/apache/sysds/runtime/util/UtilFunctions.getSeqLength, 5
org/apache/sysds/runtime/controlprogram/parfor/stat/StatisticMonitor.putPFStat, 6
org/apache/sysds/runtime/instructions/gpu/context/GPUContext.initializeThread, 5
org/apache/sysds/runtime/controlprogram/parfor/stat/InfrastructureAnalyzer.isLocalMode, 7
org/apache/sysds/conf/ConfigurationManager.getScratchSpace, 6
org/apache/sysds/hops/OptimizerUtils.estimateSize, 6
org/apache/sysds/runtime/data/TensorBlock.<init>, 5
org/apache/sysds/runtime/data/TensorBlock.isEmpty, 5
org/apache/sysds/runtime/data/TensorBlock.getLongDims, 5
org/apache/sysds/runtime/io/IOUtilFunctions.split, 14
org/apache/sysds/runtime/instructions/spark/utils/RDDAggregateUtils.mergeByKey, 8
org/apache/sysds/runtime/functionobjects/Builtin.isBuiltinCode, 5
